genre_titles,genre_urls
Action & Adventure,http://amazon.in/gp/bestsellers/books/1318158031
"Arts, Film & Photography",http://amazon.in/gp/bestsellers/books/1318052031
"Biographies, Diaries & True Accounts",http://amazon.in/gp/bestsellers/books/1318064031
Business & Economics,http://amazon.in/gp/bestsellers/books/1318068031
Children's & Young Adult,http://amazon.in/gp/bestsellers/books/1318073031
Comics & Mangas,http://amazon.in/gp/bestsellers/books/1318104031
"Computing, Internet & Digital Media",http://amazon.in/gp/bestsellers/books/1318105031
"Crafts, Home & Lifestyle",http://amazon.in/gp/bestsellers/books/1318118031
"Crime, Thriller & Mystery",http://amazon.in/gp/bestsellers/books/1318161031
Engineering,http://amazon.in/gp/bestsellers/books/22960344031
Exam Preparation,http://amazon.in/gp/bestsellers/books/4149751031
"Fantasy, Horror & Science Fiction",http://amazon.in/gp/bestsellers/books/1402038031
"Health, Family & Personal Development",http://amazon.in/gp/bestsellers/books/1318128031
"Health, Fitness & Nutrition",http://amazon.in/gp/bestsellers/books/23033693031
Higher Education Textbooks,http://amazon.in/gp/bestsellers/books/4149418031
Historical Fiction,http://amazon.in/gp/bestsellers/books/1318164031
History,http://amazon.in/gp/bestsellers/books/4149493031
Humour,http://amazon.in/gp/bestsellers/books/1318143031
"Language, Linguistics & Writing",http://amazon.in/gp/bestsellers/books/1318144031
Law,http://amazon.in/gp/bestsellers/books/4149542031
Literature & Fiction,http://amazon.in/gp/bestsellers/books/1318157031
Maps & Atlases,http://amazon.in/gp/bestsellers/books/1318298031
Medicine & Health Sciences,http://amazon.in/gp/bestsellers/books/4149549031
Politics,http://amazon.in/gp/bestsellers/books/1318176031
Reference,http://amazon.in/gp/bestsellers/books/1318185031
Religion,http://amazon.in/gp/bestsellers/books/1318188031
Romance,http://amazon.in/gp/bestsellers/books/1318168031
School Books,http://amazon.in/gp/bestsellers/books/4149807031
Science & Mathematics,http://amazon.in/gp/bestsellers/books/4149708031
"Sciences, Technology & Medicine",http://amazon.in/gp/bestsellers/books/1318203031
Society & Social Sciences,http://amazon.in/gp/bestsellers/books/1318216031
Sports,http://amazon.in/gp/bestsellers/books/1318224031
Textbooks & Study Guides,http://amazon.in/gp/bestsellers/books/15417300031
Travel,http://amazon.in/gp/bestsellers/books/1318295031
